Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,243.38,364.66,34.92,19.40,54.30,60.19,2.35,1.43,12.59,NA,NA,NA,NA,NA,NA,11.52,72.93,0.44,208.74,0.00,0.00,90.49,998.05,NA
2022-01-02 00:00:00,252.62,383.88,22.30,20.99,43.28,61.92,2.65,1.39,13.48,NA,NA,NA,NA,NA,NA,12.27,73.26,0.47,230.23,0.00,0.00,87.69,997.00,NA
2022-01-03 00:00:00,289.33,435.06,30.83,26.21,56.97,62.49,2.84,1.55,14.31,NA,NA,NA,NA,NA,NA,13.26,72.26,0.42,233.32,0.00,0.00,92.54,995.10,NA
2022-01-04 00:00:00,265.04,435.61,51.90,22.38,74.27,67.68,4.42,1.66,11.03,NA,NA,NA,NA,NA,NA,15.57,66.51,0.50,195.17,0.00,0.00,82.27,994.36,NA
2022-01-05 00:00:00,289.21,425.70,46.29,21.62,67.89,80.92,2.63,1.77,6.96,NA,NA,NA,NA,NA,NA,13.60,82.16,0.96,167.27,0.05,5.00,19.33,993.30,NA
2022-01-06 00:00:00,127.67,184.17,12.10,13.86,25.91,55.06,2.24,1.13,11.89,NA,NA,NA,NA,NA,NA,15.84,76.56,1.00,189.65,0.00,0.00,73.18,993.26,NA
2022-01-07 00:00:00,75.40,115.24,5.37,11.58,16.94,50.26,1.75,0.85,11.75,NA,NA,NA,NA,NA,NA,16.94,75.71,1.93,214.32,0.00,0.00,69.63,992.93,NA
2022-01-08 00:00:00,52.64,75.07,2.03,6.31,8.35,42.99,2.27,0.63,12.79,NA,NA,NA,NA,NA,NA,16.24,83.28,1.70,172.64,0.34,32.50,23.58,992.41,NA
2022-01-09 00:00:00,40.79,67.11,1.96,3.14,5.10,34.14,1.39,0.56,10.45,NA,NA,NA,NA,NA,NA,14.13,84.70,0.79,144.63,0.11,10.50,24.26,991.97,NA
2022-01-10 00:00:00,85.12,151.32,11.37,10.81,22.20,30.62,3.20,0.93,10.32,NA,NA,NA,NA,NA,NA,12.53,80.57,0.55,162.62,0.00,0.00,82.79,994.59,NA
2022-01-11 00:00:00,91.71,157.80,4.25,6.91,11.26,31.34,1.78,0.97,12.29,NA,NA,NA,NA,NA,NA,11.15,80.34,0.74,164.37,0.00,0.00,104.71,994.74,NA
2022-01-12 00:00:00,104.38,197.94,7.31,8.93,16.24,35.20,2.40,1.13,13.43,NA,NA,NA,NA,NA,NA,11.90,78.48,0.52,212.98,0.00,0.00,86.86,994.18,NA
2022-01-13 00:00:00,154.46,279.01,22.77,14.17,36.91,40.44,3.78,1.54,11.71,NA,NA,NA,NA,NA,NA,11.29,81.65,0.47,196.78,0.00,0.00,61.42,994.33,NA
2022-01-14 00:00:00,163.29,297.06,15.26,11.81,26.72,38.13,4.19,1.43,7.07,NA,NA,NA,NA,NA,NA,9.73,85.60,0.52,195.55,0.00,0.00,36.17,995.09,NA
2022-01-15 00:00:00,92.03,175.69,2.67,3.48,6.16,39.53,2.06,0.90,14.59,NA,NA,NA,NA,NA,NA,10.02,82.42,0.63,142.80,0.00,0.00,29.76,996.67,NA
2022-01-16 00:00:00,132.88,227.47,2.92,5.10,8.02,55.46,1.69,1.15,14.04,NA,NA,NA,NA,NA,NA,10.09,77.49,0.55,169.55,0.00,0.00,70.94,997.10,NA
2022-01-17 00:00:00,169.34,338.88,10.29,13.31,23.64,49.89,2.53,1.34,10.23,NA,NA,NA,NA,NA,NA,10.49,78.67,0.51,195.55,0.00,0.00,62.81,997.61,NA
2022-01-18 00:00:00,159.39,306.91,5.87,7.92,13.78,42.93,3.07,1.35,8.61,NA,NA,NA,NA,NA,NA,10.40,79.41,0.64,163.01,0.00,0.00,64.94,995.68,NA
2022-01-19 00:00:00,168.08,344.99,10.15,7.29,17.45,48.79,3.22,1.51,13.58,NA,NA,NA,NA,NA,NA,11.74,78.29,0.66,134.32,0.00,0.00,73.19,992.85,NA
2022-01-20 00:00:00,284.88,539.69,18.23,14.36,32.93,54.12,9.91,1.98,9.02,NA,NA,NA,NA,NA,NA,12.94,79.51,0.71,173.78,0.00,0.00,69.68,988.63,NA
2022-01-21 00:00:00,224.42,415.81,13.96,17.77,31.72,55.04,3.42,2.02,11.45,NA,NA,NA,NA,NA,NA,12.88,80.90,0.62,204.17,0.00,0.00,62.29,988.76,NA
2022-01-22 00:00:00,154.12,238.54,3.09,8.69,11.82,57.67,3.90,1.49,11.68,NA,NA,NA,NA,NA,NA,13.09,82.44,1.86,178.28,0.07,7.00,18.83,984.36,NA
2022-01-23 00:00:00,111.08,172.41,7.07,4.07,11.14,45.63,3.23,1.30,11.06,NA,NA,NA,NA,NA,NA,12.62,81.24,0.99,176.40,0.00,0.00,40.76,986.78,NA
2022-01-24 00:00:00,101.89,192.49,13.62,7.30,20.49,39.79,2.46,1.32,8.73,NA,NA,NA,NA,NA,NA,11.40,80.31,0.54,181.93,0.00,0.00,52.73,990.91,NA
2022-01-25 00:00:00,95.09,191.16,14.28,5.32,19.58,34.15,2.33,1.29,7.11,NA,NA,NA,NA,NA,NA,9.83,84.04,0.53,222.43,0.00,0.00,35.38,991.79,NA
2022-01-26 00:00:00,132.96,240.99,8.59,5.87,14.47,33.37,3.33,1.36,8.72,NA,NA,NA,NA,NA,NA,10.87,82.78,0.65,173.88,0.00,0.00,78.35,992.53,NA
2022-01-27 00:00:00,114.46,213.41,8.79,9.88,18.68,32.21,3.20,1.17,13.51,NA,NA,NA,NA,NA,NA,11.25,77.97,0.82,172.81,0.00,0.00,115.78,993.58,NA
2022-01-28 00:00:00,109.63,228.25,8.39,10.16,18.51,34.79,2.95,1.16,17.97,NA,NA,NA,NA,NA,NA,11.80,71.71,0.64,146.37,0.00,0.00,133.07,993.38,NA
2022-01-29 00:00:00,134.25,255.21,12.38,12.09,24.71,41.60,3.35,1.21,16.04,NA,NA,NA,NA,NA,NA,13.18,70.83,0.58,173.18,0.00,0.00,130.35,993.49,NA
2022-01-30 00:00:00,142.12,254.79,4.39,9.99,14.38,45.48,5.02,1.19,18.48,NA,NA,NA,NA,NA,NA,13.85,72.56,0.61,192.49,0.00,0.00,130.25,989.06,NA
2022-01-31 00:00:00,233.83,399.62,18.14,16.09,34.15,51.30,3.71,1.75,9.92,NA,NA,NA,NA,NA,NA,13.14,77.80,0.91,185.00,0.00,0.00,105.77,988.62,NA
2022-02-01 00:00:00,179.29,289.92,27.04,7.96,35.28,56.08,3.14,1.83,11.23,NA,NA,NA,NA,NA,NA,12.38,81.79,0.52,171.39,0.00,0.00,81.52,988.44,NA
2022-02-02 00:00:00,148.97,282.34,1.95,7.76,9.73,49.88,3.56,1.24,28.15,NA,NA,NA,NA,NA,NA,15.26,72.06,0.95,188.00,0.00,0.00,104.96,988.02,NA
2022-02-03 00:00:00,132.32,220.17,1.97,6.34,8.31,44.80,3.50,1.27,17.54,NA,NA,NA,NA,NA,NA,12.65,78.33,2.29,215.18,0.04,4.00,23.12,984.03,NA
2022-02-04 00:00:00,60.81,126.66,10.95,5.83,16.70,39.17,3.16,1.19,17.13,NA,NA,NA,NA,NA,NA,13.11,77.59,0.87,104.92,0.00,0.00,79.99,986.24,NA
2022-02-05 00:00:00,157.55,263.32,37.88,10.23,48.24,36.74,3.00,1.87,13.90,NA,NA,NA,NA,NA,NA,11.23,80.89,0.48,200.48,0.00,0.00,80.58,990.67,NA
2022-02-06 00:00:00,160.24,298.12,35.42,14.84,50.25,36.36,3.76,1.80,19.20,NA,NA,NA,NA,NA,NA,13.49,71.33,0.49,178.26,0.00,0.00,127.39,992.54,NA
2022-02-07 00:00:00,160.00,365.07,15.08,18.00,33.07,44.86,4.09,1.52,21.75,NA,NA,NA,NA,NA,NA,17.01,66.47,0.73,194.76,0.00,0.00,118.36,991.60,NA
2022-02-08 00:00:00,191.38,425.08,24.44,21.65,46.32,56.97,5.66,1.84,21.05,NA,NA,NA,NA,NA,NA,18.08,70.41,0.58,165.42,0.00,0.00,99.66,990.04,NA
2022-02-09 00:00:00,84.88,181.45,3.95,8.12,11.79,48.65,3.88,1.17,21.06,NA,NA,NA,NA,NA,NA,16.65,69.15,1.03,145.77,0.03,3.00,96.62,992.03,NA
2022-02-10 00:00:00,89.92,194.92,9.85,12.07,21.91,37.57,3.04,1.09,17.17,NA,NA,NA,NA,NA,NA,15.30,71.90,0.72,155.64,0.00,0.00,123.50,994.46,NA
2022-02-11 00:00:00,86.81,206.97,4.24,12.09,16.33,34.99,3.54,0.95,23.05,NA,NA,NA,NA,NA,NA,14.31,68.73,0.72,164.71,0.00,0.00,143.64,992.79,NA
2022-02-12 00:00:00,128.15,254.90,9.37,15.35,24.71,36.54,5.56,1.14,24.39,NA,NA,NA,NA,NA,NA,14.68,69.04,0.66,175.18,0.00,0.00,172.69,991.39,NA
2022-02-13 00:00:00,135.11,285.72,25.31,20.56,46.01,40.83,4.66,1.45,31.85,NA,NA,NA,NA,NA,NA,16.06,65.40,0.57,207.56,0.00,0.00,165.19,990.30,NA
2022-02-14 00:00:00,155.72,347.11,21.34,21.81,43.28,46.98,4.41,1.42,27.37,NA,NA,NA,NA,NA,NA,17.21,60.55,0.70,186.01,0.00,0.00,167.48,990.23,NA
2022-02-15 00:00:00,161.89,393.48,49.90,24.50,73.84,55.44,4.79,1.76,23.80,NA,NA,NA,NA,NA,NA,17.46,63.15,0.71,190.97,0.00,0.00,161.74,990.25,NA
2022-02-16 00:00:00,155.48,336.81,26.61,19.78,47.18,57.52,5.49,1.39,27.04,NA,NA,NA,NA,NA,NA,17.24,68.20,0.62,109.29,0.00,0.00,157.23,988.32,NA
2022-02-17 00:00:00,132.62,275.96,7.54,15.84,23.38,48.25,4.54,1.25,28.65,NA,NA,NA,NA,NA,NA,18.02,66.05,0.62,159.86,0.00,0.00,164.87,988.07,NA
2022-02-18 00:00:00,126.62,276.71,23.40,16.11,39.51,47.16,4.35,1.14,22.95,NA,NA,NA,NA,NA,NA,18.59,64.14,0.73,164.64,0.00,0.00,164.01,989.47,NA
2022-02-19 00:00:00,97.66,216.82,5.31,14.16,19.41,45.76,5.15,1.08,21.29,NA,NA,NA,NA,NA,NA,17.59,66.28,0.69,124.00,0.00,0.00,166.32,990.84,NA
2022-02-20 00:00:00,94.00,222.76,2.85,11.17,14.03,41.36,4.46,1.02,29.05,NA,NA,NA,NA,NA,NA,18.94,61.20,0.87,145.75,0.00,0.00,222.89,984.99,NA
2022-02-21 00:00:00,102.17,250.83,19.06,15.16,33.15,37.08,5.04,1.40,22.89,NA,NA,NA,NA,NA,NA,17.25,62.33,0.68,224.85,0.00,0.00,169.50,985.36,NA
2022-02-22 00:00:00,120.54,384.88,25.50,16.89,43.96,48.46,6.99,1.29,35.25,NA,NA,NA,NA,NA,NA,20.03,53.03,2.31,195.61,0.00,0.00,154.96,986.99,NA
2022-02-23 00:00:00,121.67,275.83,5.34,13.10,18.45,48.57,4.77,1.23,32.46,NA,NA,NA,NA,NA,NA,19.59,64.69,1.52,192.55,0.00,0.00,118.36,990.93,NA
2022-02-24 00:00:00,177.08,351.67,6.19,17.70,23.89,53.83,4.81,1.40,26.01,NA,NA,NA,NA,NA,NA,19.89,67.02,0.86,137.11,0.00,0.00,130.55,992.62,NA
2022-02-25 00:00:00,134.47,317.04,5.44,16.83,22.28,48.72,4.65,1.30,31.50,NA,NA,NA,NA,NA,NA,20.96,60.02,1.07,206.49,0.00,0.00,134.15,992.80,NA
