Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,258.88,349.70,139.40,89.86,161.69,45.87,8.84,2.59,22.14,4.04,21.88,NA,NA,NA,NA,12.54,79.64,1.69,116.46,0.00,0.00,38.09,998.69,NA
2022-01-02 00:00:00,268.53,356.72,125.85,89.69,150.30,45.86,7.73,2.33,28.65,4.11,22.64,NA,NA,NA,NA,12.93,80.30,1.68,115.82,0.00,0.00,36.24,997.65,NA
2022-01-03 00:00:00,262.45,375.55,142.45,96.01,176.20,42.18,9.36,3.06,32.55,4.12,22.99,NA,NA,NA,NA,13.56,77.12,1.79,114.93,0.00,0.00,36.89,995.85,NA
2022-01-04 00:00:00,197.05,302.25,106.53,100.01,140.54,38.81,7.47,3.11,30.84,3.79,26.86,NA,NA,NA,NA,15.00,70.52,1.40,131.97,0.00,0.00,37.44,995.17,NA
2022-01-05 00:00:00,259.95,329.07,192.60,95.75,231.78,43.95,8.40,2.99,6.00,4.52,33.64,NA,NA,NA,NA,13.90,88.72,1.68,217.52,0.00,0.00,12.98,994.34,NA
2022-01-06 00:00:00,115.48,153.93,29.12,73.01,62.59,35.75,8.50,1.77,13.98,2.44,11.93,NA,NA,NA,NA,15.21,82.53,2.03,287.85,0.00,0.00,37.83,993.99,NA
2022-01-07 00:00:00,73.38,112.38,22.27,60.72,50.46,30.49,8.59,1.46,20.15,1.85,8.81,NA,NA,NA,NA,15.81,81.74,2.50,301.02,0.00,0.00,33.33,993.45,NA
2022-01-08 00:00:00,44.30,53.90,10.82,50.85,35.91,29.09,8.92,1.25,17.80,1.27,8.10,NA,NA,NA,NA,15.49,90.13,2.38,275.64,0.00,0.00,11.71,992.86,NA
2022-01-09 00:00:00,39.86,48.50,10.48,39.45,29.53,24.11,8.92,1.21,12.80,1.22,7.98,NA,NA,NA,NA,14.45,90.43,2.14,125.52,0.00,0.00,13.36,992.37,NA
2022-01-10 00:00:00,84.08,126.29,32.88,45.10,50.84,20.63,9.81,1.48,27.66,2.00,14.19,NA,NA,NA,NA,13.51,83.08,2.05,123.76,0.00,0.00,41.18,994.82,NA
2022-01-11 00:00:00,93.08,135.71,30.96,41.23,47.17,19.31,7.92,1.40,36.04,2.36,17.92,NA,NA,NA,NA,12.99,81.75,2.68,122.86,0.00,0.00,39.14,994.91,NA
2022-01-12 00:00:00,102.68,157.43,53.27,50.81,70.48,14.43,11.27,2.19,32.60,2.02,12.55,NA,NA,NA,NA,12.88,80.76,1.79,116.29,0.00,0.00,40.51,994.58,NA
2022-01-13 00:00:00,226.61,321.40,156.25,73.27,166.45,14.37,15.71,3.04,22.27,4.38,32.77,NA,NA,NA,NA,12.53,86.19,1.20,150.32,0.00,0.00,42.18,994.76,NA
2022-01-14 00:00:00,195.07,295.10,58.88,64.77,81.16,15.05,10.32,1.91,13.11,3.77,26.96,NA,NA,NA,NA,12.16,88.14,1.33,152.43,0.00,0.00,37.91,995.56,NA
2022-01-15 00:00:00,130.69,190.86,20.20,41.12,38.35,15.90,7.60,1.31,26.36,2.34,15.24,NA,NA,NA,NA,12.08,84.39,2.08,130.76,0.00,0.00,31.67,997.15,NA
2022-01-16 00:00:00,141.14,208.43,14.28,51.90,39.23,20.52,10.80,1.59,33.42,1.99,10.69,NA,NA,NA,NA,12.55,78.59,1.64,157.82,0.00,0.00,42.06,997.54,NA
2022-01-17 00:00:00,171.85,256.33,26.27,71.06,59.23,20.97,9.77,1.77,24.88,2.48,12.17,NA,NA,NA,NA,12.52,79.56,1.30,197.01,0.00,0.00,41.99,998.05,NA
2022-01-18 00:00:00,189.34,286.36,20.53,56.18,46.62,20.47,10.43,1.93,32.05,2.78,18.89,NA,NA,NA,NA,12.42,80.12,2.56,121.23,0.00,0.00,38.20,996.31,NA
2022-01-19 00:00:00,182.75,305.58,32.55,70.97,64.29,22.05,11.59,2.11,39.69,2.78,17.51,NA,NA,NA,NA,13.13,80.66,1.82,148.90,0.00,0.00,38.78,993.47,NA
2022-01-20 00:00:00,234.78,369.09,45.33,74.97,76.86,29.66,12.36,2.27,16.69,3.58,19.36,NA,NA,NA,NA,13.49,84.66,1.63,270.48,0.00,0.00,36.24,989.30,NA
2022-01-21 00:00:00,183.14,289.17,60.86,78.96,93.19,28.32,13.18,2.55,26.51,3.61,21.63,NA,NA,NA,NA,13.79,82.33,1.51,211.49,0.00,0.00,40.70,989.36,NA
2022-01-22 00:00:00,129.47,166.79,12.40,68.39,46.47,31.81,8.83,1.61,20.16,2.36,9.96,NA,NA,NA,NA,13.70,86.53,2.60,283.18,0.00,0.00,13.75,985.26,NA
2022-01-23 00:00:00,112.64,144.27,50.79,51.71,68.91,21.00,11.50,1.94,21.54,2.30,10.67,NA,NA,NA,NA,13.20,86.65,1.84,188.32,0.00,0.00,25.80,987.47,NA
2022-01-24 00:00:00,121.78,182.62,111.29,61.27,123.28,12.32,9.59,2.20,13.08,2.96,21.75,NA,NA,NA,NA,12.55,85.79,1.32,130.96,0.00,0.00,30.81,991.51,NA
2022-01-25 00:00:00,119.15,200.79,78.72,41.19,86.11,9.96,7.12,1.95,13.90,2.90,20.02,NA,NA,NA,NA,11.53,88.62,2.27,115.69,0.00,0.00,23.50,992.58,NA
2022-01-26 00:00:00,112.16,180.73,42.98,38.55,54.83,9.96,7.15,1.79,27.06,2.59,10.32,NA,NA,NA,NA,12.41,84.26,2.20,119.57,0.00,0.00,46.26,993.32,NA
2022-01-27 00:00:00,117.01,178.02,41.16,50.75,60.54,20.60,9.97,1.74,33.29,2.47,13.68,NA,NA,NA,NA,12.91,79.81,2.75,122.83,0.00,0.00,41.46,994.36,NA
2022-01-28 00:00:00,103.38,169.60,40.82,55.01,62.72,17.51,8.12,1.73,43.87,1.98,12.25,NA,NA,NA,NA,13.19,70.48,3.03,119.67,0.00,0.00,33.16,994.10,NA
2022-01-29 00:00:00,129.67,214.90,103.22,68.20,120.39,14.54,11.14,2.64,41.46,2.72,20.26,NA,NA,NA,NA,13.43,73.12,2.21,116.42,0.00,0.00,43.97,994.24,NA
2022-01-30 00:00:00,142.04,212.18,38.50,64.18,65.51,18.00,7.56,1.71,50.93,2.38,14.21,NA,NA,NA,NA,14.30,72.97,3.04,119.48,0.00,0.00,52.13,989.74,NA
2022-01-31 00:00:00,227.60,324.35,123.35,72.35,146.44,14.70,13.19,3.08,23.50,3.70,23.42,NA,NA,NA,NA,13.74,81.66,1.65,233.62,0.00,0.00,68.13,989.28,NA
2022-02-01 00:00:00,208.54,290.02,70.37,64.47,92.54,15.55,11.41,2.65,34.61,3.60,25.59,NA,NA,NA,NA,14.12,81.46,2.14,128.67,0.00,0.00,61.76,989.12,NA
2022-02-02 00:00:00,170.86,235.38,11.40,59.15,40.77,15.85,10.60,1.80,56.34,2.02,10.34,NA,NA,NA,NA,15.19,74.89,2.52,173.45,0.00,0.00,63.03,988.74,NA
2022-02-03 00:00:00,152.57,193.31,12.67,47.79,35.76,14.37,11.27,1.94,30.39,2.06,8.56,NA,NA,NA,NA,13.41,82.62,3.17,249.36,0.00,0.00,15.72,984.95,NA
2022-02-04 00:00:00,51.28,78.32,38.61,38.68,52.05,17.07,10.37,1.84,35.75,1.65,9.40,NA,NA,NA,NA,13.46,81.64,2.63,113.50,0.00,0.00,48.50,987.11,NA
2022-02-05 00:00:00,117.21,170.05,111.99,52.26,122.56,29.32,11.00,2.50,30.09,3.63,23.65,NA,NA,NA,NA,12.95,81.63,1.67,134.38,0.00,0.00,55.45,991.36,NA
2022-02-06 00:00:00,158.48,244.62,161.03,57.46,190.44,37.20,11.59,3.24,36.91,3.60,24.99,NA,NA,NA,NA,14.16,75.55,1.38,160.89,0.00,0.00,51.92,993.26,NA
2022-02-07 00:00:00,101.12,190.89,62.28,68.06,87.00,40.84,9.70,2.47,36.08,2.30,14.78,NA,NA,NA,NA,16.13,71.71,1.25,228.93,0.00,0.00,55.33,992.28,NA
2022-02-08 00:00:00,129.48,251.67,130.05,69.29,142.87,47.00,13.16,2.85,37.73,2.99,23.82,NA,NA,NA,NA,16.50,75.73,1.34,231.55,0.00,0.00,54.26,990.71,NA
2022-02-09 00:00:00,94.89,160.54,56.88,56.72,76.56,40.90,5.55,2.02,34.98,2.09,17.69,NA,NA,NA,NA,15.62,78.43,1.88,226.03,0.00,0.00,60.65,992.75,NA
2022-02-10 00:00:00,71.36,147.92,42.15,48.49,59.27,31.78,7.57,1.91,38.84,1.94,15.51,NA,NA,NA,NA,14.89,73.76,2.62,116.39,0.00,0.00,59.07,995.31,NA
2022-02-11 00:00:00,76.49,171.24,40.71,51.26,60.47,29.10,9.74,2.05,45.97,1.65,14.47,NA,NA,NA,NA,14.56,68.13,3.10,113.75,0.00,0.00,54.57,993.73,NA
2022-02-12 00:00:00,78.03,163.21,69.03,50.65,83.16,29.06,7.95,2.40,48.31,1.86,13.76,NA,NA,NA,NA,14.61,68.83,2.76,122.18,0.00,0.00,55.00,992.24,NA
2022-02-13 00:00:00,122.17,227.98,172.61,62.51,186.90,31.86,11.00,3.22,41.19,4.90,35.90,NA,NA,NA,NA,15.44,72.76,1.31,176.68,0.00,0.00,58.83,991.01,NA
2022-02-14 00:00:00,102.76,201.11,158.07,66.36,183.47,30.75,10.96,3.38,40.32,4.00,29.52,NA,NA,NA,NA,16.15,70.65,1.17,168.02,0.00,0.00,60.91,990.97,NA
