Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,165.04,203.38,29.25,17.17,44.81,63.34,2.49,1.34,25.07,0.42,0.69,NA,NA,NA,NA,9.72,75.33,0.72,264.16,0.00,0.00,45.63,998.10,NA
2022-01-02 00:00:00,162.92,197.42,20.20,16.59,36.78,67.06,2.14,0.95,25.48,0.42,0.78,NA,NA,NA,NA,10.48,73.39,0.77,273.77,0.00,0.00,44.39,997.16,NA
2022-01-03 00:00:00,148.73,187.23,18.44,20.08,38.52,70.17,2.34,0.93,29.34,0.39,0.48,NA,NA,NA,NA,11.65,70.15,0.90,273.81,0.00,0.00,53.76,995.43,NA
2022-01-04 00:00:00,49.33,94.33,3.22,13.15,16.37,16.42,5.62,0.48,41.67,0.18,0.92,NA,NA,NA,NA,19.58,45.08,1.03,41.45,0.00,0.00,25.50,992.88,NA
2022-01-05 00:00:00,233.29,273.43,13.29,44.71,58.00,41.95,1.19,1.23,13.61,0.64,3.91,NA,NA,NA,NA,14.19,83.71,1.57,133.21,0.00,0.00,36.79,992.31,NA
2022-01-06 00:00:00,88.65,121.50,9.55,17.33,26.88,29.58,1.15,0.88,8.52,0.37,1.35,NA,NA,NA,NA,14.14,82.68,0.91,128.90,0.00,0.00,4.10,993.03,NA
2022-01-07 00:00:00,71.02,95.33,3.14,9.12,12.25,25.83,1.46,0.70,18.90,0.26,0.59,NA,NA,NA,NA,16.03,80.82,2.25,176.02,0.00,0.00,29.58,992.96,NA
2022-01-08 00:00:00,34.75,50.95,3.23,9.12,12.26,19.16,1.16,0.70,18.32,0.17,0.51,NA,NA,NA,NA,15.97,85.10,1.89,152.01,0.00,0.00,18.80,992.41,NA
2022-01-09 00:00:00,16.63,36.84,3.08,8.88,11.95,17.25,0.92,0.36,13.11,0.18,0.33,NA,NA,NA,NA,14.13,86.96,1.37,218.74,0.00,0.00,3.32,991.31,NA
2022-01-10 00:00:00,72.69,86.08,8.00,10.34,17.39,16.02,1.94,0.41,16.44,0.21,0.72,NA,NA,NA,NA,12.08,79.52,0.84,277.56,0.00,0.00,70.28,995.22,NA
2022-01-11 00:00:00,69.78,80.50,6.92,8.88,15.72,13.77,1.53,0.86,17.54,0.25,0.40,NA,NA,NA,NA,9.98,81.29,1.11,300.36,0.00,0.00,53.91,994.99,NA
2022-01-12 00:00:00,64.83,87.50,5.16,9.69,14.78,15.08,1.66,0.72,16.38,0.18,0.27,NA,NA,NA,NA,10.45,79.62,0.66,251.68,0.00,0.00,53.41,994.46,NA
2022-01-13 00:00:00,107.40,137.34,17.60,18.74,36.13,17.99,1.49,1.04,17.14,0.34,2.87,NA,NA,NA,NA,10.19,83.39,0.69,220.36,0.00,0.00,51.67,994.53,NA
2022-01-14 00:00:00,142.13,186.30,13.45,16.87,30.31,22.30,2.54,0.90,13.73,0.50,5.45,NA,NA,NA,NA,8.95,87.90,0.63,191.00,0.00,0.00,31.56,995.35,NA
2022-01-15 00:00:00,81.74,121.52,3.05,8.86,11.77,20.64,1.53,0.43,20.84,0.19,0.45,NA,NA,NA,NA,10.04,85.33,0.80,219.88,0.00,0.00,24.87,996.93,NA
2022-01-16 00:00:00,108.96,144.67,5.75,10.86,16.60,28.30,1.58,0.73,19.36,0.27,0.62,NA,NA,NA,NA,10.10,79.59,0.81,212.39,0.00,0.00,54.28,997.33,NA
2022-01-17 00:00:00,128.50,196.92,7.50,13.55,20.95,43.31,1.51,0.59,17.18,0.34,0.91,NA,NA,NA,NA,10.08,84.47,0.69,222.38,0.00,0.00,41.89,997.89,NA
2022-01-18 00:00:00,145.67,205.67,3.44,12.06,15.49,62.63,1.82,0.70,18.05,0.29,1.01,NA,NA,NA,NA,10.23,81.08,1.00,304.35,0.00,0.00,53.59,995.94,NA
2022-01-19 00:00:00,139.61,217.75,5.46,13.99,19.38,67.94,2.01,0.89,19.30,0.36,1.17,NA,NA,NA,NA,11.64,81.32,0.78,180.09,0.00,0.00,54.49,993.04,NA
2022-01-20 00:00:00,211.05,325.15,20.05,21.01,41.04,74.43,2.09,1.20,20.16,0.70,3.44,NA,NA,NA,NA,12.77,82.51,0.76,163.29,0.00,0.00,52.07,988.83,NA
2022-01-21 00:00:00,146.57,198.77,9.51,16.56,26.06,69.53,2.09,0.98,18.47,0.52,1.54,NA,NA,NA,NA,12.32,82.34,0.68,235.18,0.00,0.00,55.82,988.92,NA
2022-01-22 00:00:00,115.08,150.96,3.40,12.02,15.35,60.42,1.89,0.74,25.94,0.34,0.66,NA,NA,NA,NA,13.03,86.23,2.23,158.10,0.00,0.00,18.20,984.36,NA
2022-01-23 00:00:00,70.59,91.00,3.15,7.90,10.96,43.39,1.65,0.64,17.92,0.19,0.31,NA,NA,NA,NA,12.58,84.87,1.15,223.64,0.00,0.00,40.93,987.01,NA
2022-01-24 00:00:00,45.84,63.47,5.21,8.16,13.23,31.70,1.77,0.65,16.56,0.16,0.60,NA,NA,NA,NA,11.12,82.53,0.88,167.93,0.00,0.00,44.71,990.99,NA
2022-01-25 00:00:00,62.61,107.29,10.43,8.72,19.14,33.06,1.54,0.76,10.99,0.22,0.84,NA,NA,NA,NA,9.44,88.27,0.88,276.70,0.00,0.00,25.84,992.02,NA
2022-01-26 00:00:00,66.97,107.17,9.24,9.53,18.66,33.48,1.77,0.82,15.90,0.19,0.26,NA,NA,NA,NA,10.48,84.55,0.96,265.14,0.00,0.00,62.41,992.71,NA
2022-01-27 00:00:00,68.28,94.05,8.22,10.55,18.77,35.42,1.98,0.68,24.28,0.18,0.20,NA,NA,NA,NA,10.68,80.57,1.27,269.90,0.00,0.00,66.60,993.82,NA
2022-01-28 00:00:00,70.96,103.97,4.54,12.18,16.60,36.31,2.03,0.61,27.26,0.14,0.17,NA,NA,NA,NA,10.82,76.53,1.33,295.34,0.00,0.00,72.97,993.68,NA
2022-01-29 00:00:00,73.93,107.67,17.05,15.83,32.50,39.75,1.52,0.65,23.95,0.15,0.31,NA,NA,NA,NA,12.15,76.01,1.00,281.92,0.00,0.00,74.15,993.69,NA
2022-01-30 00:00:00,108.40,149.01,7.62,16.37,23.99,53.50,2.24,0.72,27.56,0.16,0.21,NA,NA,NA,NA,12.90,78.43,1.19,291.07,0.00,0.00,77.27,989.38,NA
2022-01-31 00:00:00,159.50,237.52,20.55,28.08,48.63,64.77,2.06,1.19,25.75,0.29,1.25,NA,NA,NA,NA,13.44,79.38,0.84,157.70,0.00,0.00,71.48,988.66,NA
2022-02-01 00:00:00,136.59,163.92,11.67,15.31,26.97,64.88,1.24,1.24,18.08,0.33,1.00,NA,NA,NA,NA,11.71,87.75,0.91,283.95,0.00,0.00,59.02,988.73,NA
2022-02-02 00:00:00,121.35,175.19,2.55,11.62,14.01,63.13,1.88,0.62,41.13,0.15,0.22,NA,NA,NA,NA,14.97,78.26,1.18,222.67,0.00,0.00,73.48,988.25,NA
2022-02-03 00:00:00,142.48,186.85,2.96,11.43,14.34,61.26,1.35,0.86,24.06,0.17,0.29,NA,NA,NA,NA,12.75,83.62,2.23,181.30,0.00,0.00,22.86,984.25,NA
2022-02-04 00:00:00,33.00,44.86,2.98,6.59,9.48,36.53,1.67,0.33,15.51,0.10,0.15,NA,NA,NA,NA,12.83,81.88,1.45,290.70,0.00,0.00,63.17,986.65,NA
2022-02-05 00:00:00,68.02,89.90,13.11,13.42,26.53,32.73,1.76,0.77,2.13,0.25,1.72,NA,NA,NA,NA,10.58,82.34,0.77,188.91,0.00,0.00,73.66,991.02,NA
2022-02-06 00:00:00,102.46,154.35,32.26,19.47,51.02,34.04,2.40,1.04,0.14,0.33,1.49,NA,NA,NA,NA,13.23,71.13,0.85,184.29,0.01,0.50,94.38,992.78,NA
2022-02-07 00:00:00,85.41,179.37,13.28,21.81,35.10,42.33,2.39,0.94,18.84,0.17,0.69,NA,NA,NA,NA,19.18,59.90,1.08,148.27,0.00,0.00,106.40,991.35,NA
2022-02-08 00:00:00,124.74,233.10,31.14,23.44,54.59,57.76,2.04,1.13,20.20,0.34,1.96,NA,NA,NA,NA,17.13,72.33,0.88,110.24,0.00,0.00,81.88,990.42,NA
2022-02-09 00:00:00,83.21,154.88,10.15,17.13,27.16,49.28,1.91,0.58,9.43,0.24,2.89,NA,NA,NA,NA,16.35,72.25,1.29,106.58,0.01,0.50,84.35,992.18,NA
2022-02-10 00:00:00,52.43,90.43,8.34,10.58,18.92,38.38,1.66,0.65,12.22,0.14,0.39,NA,NA,NA,NA,14.35,72.24,1.31,299.13,0.00,0.00,105.12,994.68,NA
2022-02-11 00:00:00,74.90,127.17,3.39,10.94,14.19,40.59,1.79,0.50,14.17,0.11,0.12,NA,NA,NA,NA,11.96,71.52,1.47,293.86,0.00,0.00,87.56,993.59,NA
2022-02-12 00:00:00,23.57,69.57,1.96,5.28,7.24,32.22,1.42,0.48,41.02,0.02,0.06,NA,NA,NA,NA,19.68,48.36,1.26,348.88,0.00,0.00,18.86,990.06,NA
2022-02-13 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-02-14 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-02-15 00:00:00,73.23,149.07,23.72,25.79,49.86,44.14,1.58,0.93,4.70,0.07,0.17,NA,NA,NA,NA,12.93,79.03,0.63,109.00,0.00,0.00,3.42,989.92,NA
2022-02-16 00:00:00,86.38,163.55,18.67,15.56,33.82,52.02,2.26,0.78,31.18,0.17,1.00,NA,NA,NA,NA,16.31,68.65,0.97,253.71,0.00,0.00,120.39,988.51,NA
2022-02-17 00:00:00,78.23,133.78,8.45,14.61,22.86,47.45,2.48,0.70,28.08,0.13,0.63,NA,NA,NA,NA,16.69,66.99,0.88,215.30,0.00,0.00,129.46,988.49,NA
2022-02-18 00:00:00,85.91,140.44,25.15,15.05,40.20,42.99,1.95,0.79,30.38,0.17,2.01,NA,NA,NA,NA,17.07,66.23,0.74,255.92,0.00,0.00,197.51,989.87,NA
2022-02-19 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-02-20 00:00:00,47.50,117.67,2.55,7.10,9.65,42.95,2.55,0.40,66.40,0.10,0.05,NA,NA,NA,NA,24.95,42.20,3.35,338.00,0.00,0.00,576.45,984.80,NA
2022-02-21 00:00:00,49.09,127.77,9.42,15.04,24.33,39.20,2.28,0.63,42.08,0.11,0.25,NA,NA,NA,NA,19.22,52.66,1.28,229.45,0.00,0.00,171.92,985.65,NA
2022-02-22 00:00:00,67.35,230.33,18.71,18.98,37.48,43.68,2.27,0.69,42.00,0.18,1.01,NA,NA,NA,NA,19.58,51.57,2.87,148.67,0.00,0.00,111.92,986.73,NA
2022-02-23 00:00:00,103.50,190.75,3.40,13.08,16.48,52.89,1.83,0.70,36.25,0.16,0.30,NA,NA,NA,NA,19.33,64.00,1.90,156.41,0.00,0.00,95.01,990.87,NA
2022-02-24 00:00:00,116.49,212.83,27.18,20.43,47.61,52.09,2.14,0.81,26.35,0.29,2.64,NA,NA,NA,NA,18.51,67.51,0.94,177.77,0.00,0.00,112.32,992.70,NA
2022-02-25 00:00:00,91.47,182.49,11.05,17.05,28.09,47.41,1.83,0.66,29.51,0.20,1.11,NA,NA,NA,NA,19.02,65.37,1.41,202.92,0.00,0.00,121.53,992.91,NA
2022-02-26 00:00:00,13.36,44.29,2.85,11.52,14.33,37.85,1.60,0.42,34.30,0.07,0.35,NA,NA,NA,NA,19.21,55.30,2.41,120.66,0.00,0.00,155.90,993.54,NA
2022-02-27 00:00:00,26.97,72.94,3.10,10.31,13.11,49.97,1.96,0.76,26.79,0.09,0.23,NA,NA,NA,NA,19.53,56.55,1.69,256.14,0.00,0.00,200.47,995.02,NA
2022-02-28 00:00:00,34.46,63.80,4.36,12.88,17.24,50.89,2.16,0.78,16.86,0.10,0.20,NA,NA,NA,NA,16.12,63.76,1.35,297.39,0.00,0.00,166.99,993.84,NA
2022-03-01 00:00:00,65.93,118.68,13.52,15.99,29.20,51.32,2.26,0.58,11.13,0.21,0.92,NA,NA,NA,NA,16.92,66.10,1.14,224.78,0.00,0.00,149.78,993.92,NA
2022-03-02 00:00:00,84.64,164.13,13.53,17.65,31.18,43.16,3.06,0.89,9.15,0.33,2.34,NA,NA,NA,NA,18.43,63.68,1.07,243.62,0.00,0.00,155.44,993.65,NA
2022-03-03 00:00:00,63.70,154.42,3.82,15.91,19.63,37.98,2.95,0.46,17.21,0.20,0.71,NA,NA,NA,NA,21.25,59.46,1.33,181.40,0.00,0.00,140.16,992.46,NA
2022-03-04 00:00:00,61.35,108.04,4.45,10.90,15.34,39.90,2.24,0.39,22.19,0.19,0.44,NA,NA,NA,NA,19.19,66.09,1.81,316.34,0.00,0.00,141.79,993.48,NA
2022-03-05 00:00:00,49.25,93.62,4.44,10.05,14.48,39.49,2.41,0.51,28.96,0.22,0.19,NA,NA,NA,NA,18.35,65.33,1.73,322.72,0.00,0.00,164.85,991.92,NA
2022-03-06 00:00:00,63.71,133.38,6.46,15.81,22.26,37.72,2.56,0.56,34.65,0.24,0.37,NA,NA,NA,NA,19.39,63.72,0.94,215.02,0.00,0.00,130.57,990.76,NA
2022-03-07 00:00:00,92.17,221.79,28.18,25.24,53.41,36.84,2.46,0.83,50.50,0.41,2.18,NA,NA,NA,NA,21.21,60.09,0.92,134.64,0.00,0.00,148.22,991.97,NA
2022-03-08 00:00:00,113.87,227.47,16.25,20.84,36.89,42.82,3.59,0.60,33.61,0.39,2.62,NA,NA,NA,NA,20.78,62.20,1.10,235.70,0.00,0.00,171.16,991.44,NA
2022-03-09 00:00:00,51.86,121.96,9.22,15.58,24.80,39.23,3.43,0.57,33.17,0.33,0.47,NA,NA,NA,NA,21.79,56.56,1.18,234.18,0.00,0.00,154.16,990.12,NA
2022-03-10 00:00:00,66.62,155.08,8.98,16.48,25.45,35.47,4.59,0.60,36.41,0.12,0.11,NA,NA,NA,NA,21.49,60.23,1.31,282.38,0.00,0.00,150.65,990.10,NA
2022-03-11 00:00:00,73.08,158.25,9.51,19.18,28.68,40.06,4.77,0.68,36.53,0.21,0.16,NA,NA,NA,NA,21.27,62.37,1.55,308.59,0.00,0.00,158.09,990.16,NA
2022-03-12 00:00:00,65.62,151.71,5.38,17.18,22.56,41.38,4.21,0.66,38.66,0.28,0.12,NA,NA,NA,NA,21.49,60.79,1.42,298.46,0.00,0.00,161.59,988.86,NA
2022-03-13 00:00:00,75.67,176.12,12.15,19.35,31.50,42.95,3.85,0.84,43.33,0.36,0.39,NA,NA,NA,NA,23.24,59.92,1.20,251.47,0.00,0.00,146.22,988.44,NA
2022-03-14 00:00:00,82.57,183.56,7.39,17.82,25.09,44.23,4.22,0.68,53.60,0.23,0.65,NA,NA,NA,NA,26.70,55.65,1.04,251.47,0.00,0.00,190.53,987.93,NA
2022-03-15 00:00:00,88.58,189.25,12.48,18.44,30.92,45.59,3.46,0.82,43.11,0.24,1.31,NA,NA,NA,NA,25.94,61.89,1.11,265.66,0.00,0.00,139.88,985.30,NA
2022-03-16 00:00:00,85.25,235.00,8.61,15.85,24.47,51.02,4.03,0.80,36.56,0.28,0.19,NA,NA,NA,NA,25.99,62.97,1.78,313.50,0.00,0.00,138.20,983.11,NA
2022-03-17 00:00:00,100.18,202.59,6.38,17.22,23.53,45.34,5.43,0.89,39.03,0.31,0.30,NA,NA,NA,NA,26.71,58.51,1.05,230.44,0.00,0.00,110.64,983.75,NA
2022-03-18 00:00:00,129.79,219.92,4.73,13.69,18.41,50.88,2.29,1.15,35.25,0.27,0.34,NA,NA,NA,NA,27.89,58.84,1.42,155.37,0.00,0.00,113.88,984.73,NA
2022-03-19 00:00:00,87.00,169.62,6.51,15.76,22.27,48.18,1.99,0.81,34.97,0.22,0.36,NA,NA,NA,NA,28.22,54.41,0.96,168.59,0.00,0.00,135.11,982.63,NA
2022-03-20 00:00:00,77.04,188.00,6.80,19.69,26.49,41.09,2.47,0.65,29.74,0.32,0.56,NA,NA,NA,NA,28.50,49.96,1.14,174.81,0.00,0.00,145.16,981.29,NA
2022-03-21 00:00:00,140.21,284.36,15.41,19.55,34.96,44.61,6.34,0.96,29.33,0.58,0.74,NA,NA,NA,NA,25.20,58.44,1.05,259.69,0.00,0.00,164.06,983.58,NA
2022-03-22 00:00:00,56.40,164.06,4.51,12.28,16.79,28.50,4.41,0.53,48.76,0.16,0.32,NA,NA,NA,NA,29.97,42.56,2.02,277.71,0.00,0.00,197.87,984.49,NA
2022-03-23 00:00:00,84.41,214.00,6.94,17.59,24.51,26.81,4.06,0.62,32.64,0.31,0.39,NA,NA,NA,NA,26.00,52.49,0.97,226.58,0.00,0.00,135.79,984.44,NA
2022-03-24 00:00:00,71.31,242.55,18.05,21.86,39.90,25.62,3.55,0.56,24.82,0.26,1.13,NA,NA,NA,NA,26.71,47.40,1.28,236.94,0.00,0.00,156.48,982.65,NA
2022-03-25 00:00:00,73.34,221.08,9.26,17.45,26.71,30.35,4.26,0.60,27.86,0.37,0.40,NA,NA,NA,NA,25.89,52.27,1.51,310.01,0.00,0.00,156.20,984.28,NA
2022-03-26 00:00:00,85.17,245.52,7.40,17.33,24.73,26.33,7.65,0.63,30.53,0.47,0.24,NA,NA,NA,NA,25.64,48.33,1.88,301.93,0.00,0.00,159.09,986.00,NA
2022-03-27 00:00:00,71.54,194.98,6.48,18.70,25.07,20.11,5.14,0.53,33.55,0.35,0.27,NA,NA,NA,NA,26.48,43.34,1.42,260.28,0.00,0.00,157.35,985.76,NA
2022-03-28 00:00:00,62.97,200.78,20.92,24.31,45.22,19.86,4.04,0.74,29.52,0.22,1.16,NA,NA,NA,NA,27.59,43.81,1.03,205.04,0.00,0.00,155.61,984.45,NA
2022-03-29 00:00:00,73.45,216.38,11.85,23.18,35.02,23.85,5.27,0.65,27.38,0.39,1.11,NA,NA,NA,NA,28.48,40.24,1.14,251.44,0.00,0.00,156.01,982.71,NA
2022-03-30 00:00:00,76.74,233.68,22.55,27.95,50.50,23.19,5.25,0.83,30.84,0.35,1.73,NA,NA,NA,NA,29.07,38.71,0.85,188.05,0.00,0.00,149.41,982.81,NA
2022-03-31 00:00:00,94.22,285.62,33.23,27.18,60.04,32.32,5.39,1.13,50.08,0.48,2.72,NA,NA,NA,NA,30.03,39.53,1.29,149.26,0.00,0.00,142.13,983.41,NA
2022-04-01 00:00:00,65.75,194.50,6.49,16.66,23.14,25.35,5.16,0.00,41.41,0.31,0.56,NA,NA,NA,NA,28.09,39.06,1.42,250.71,0.00,0.00,166.90,984.13,NA
2022-04-02 00:00:00,74.93,219.42,18.38,30.77,49.15,21.59,7.22,0.00,38.93,0.37,1.42,NA,NA,NA,NA,28.63,35.97,0.95,191.80,0.00,0.00,155.41,985.18,NA
2022-04-03 00:00:00,60.68,198.17,6.62,20.57,27.19,20.65,4.98,0.00,39.43,0.31,0.71,NA,NA,NA,NA,29.78,32.35,1.19,216.21,0.00,0.00,161.65,984.23,NA
