Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,235.29,330.71,27.28,60.20,54.25,47.23,11.78,1.25,30.03,4.10,67.67,NA,NA,NA,NA,12.51,79.95,1.02,238.26,0.00,0.00,101.48,997.94,NA
2022-01-02 00:00:00,245.08,334.88,17.85,56.84,44.78,45.68,11.49,1.21,33.35,4.87,91.94,NA,NA,NA,NA,13.10,79.59,1.05,223.62,0.00,0.00,104.67,996.77,NA
2022-01-03 00:00:00,265.88,368.92,41.50,64.04,67.89,47.56,14.33,1.27,34.81,4.99,106.75,NA,NA,NA,NA,13.91,77.56,1.01,229.27,0.00,0.00,107.04,994.89,NA
2022-01-04 00:00:00,276.92,425.83,67.89,67.33,91.15,52.41,21.26,1.50,23.43,5.50,149.35,NA,NA,NA,NA,16.10,72.00,1.02,206.78,0.00,0.00,92.93,994.16,NA
2022-01-05 00:00:00,318.08,423.71,83.35,61.56,100.69,61.46,10.34,1.32,12.79,7.05,152.65,NA,NA,NA,NA,13.98,91.41,0.96,118.40,0.00,0.00,19.84,993.17,NA
2022-01-06 00:00:00,136.54,194.75,41.35,41.63,55.87,46.51,9.50,1.24,19.02,3.61,70.26,NA,NA,NA,NA,16.13,85.71,0.96,54.15,0.00,0.00,77.60,993.02,NA
2022-01-07 00:00:00,89.79,149.21,28.99,48.06,49.20,40.54,7.98,1.04,12.69,2.65,38.24,NA,NA,NA,NA,17.29,83.25,0.77,86.14,0.00,0.00,70.95,992.59,NA
2022-01-08 00:00:00,56.00,72.80,18.48,27.76,29.85,40.77,7.32,0.93,19.16,1.56,33.86,NA,NA,NA,NA,16.41,92.03,0.88,84.51,0.00,0.00,24.47,992.16,NA
2022-01-09 00:00:00,41.91,57.52,5.24,13.86,11.64,33.77,6.58,0.91,21.33,1.31,83.51,NA,NA,NA,NA,14.69,93.42,0.91,206.33,0.00,0.00,22.42,991.76,NA
2022-01-10 00:00:00,83.58,120.46,12.77,28.94,25.80,27.76,12.75,1.01,23.87,1.70,79.09,NA,NA,NA,NA,13.44,87.49,0.93,240.49,0.00,0.00,100.55,994.19,NA
2022-01-11 00:00:00,75.16,105.28,9.01,23.60,19.90,23.09,7.32,0.91,24.76,1.57,66.54,NA,NA,NA,NA,12.23,86.54,0.94,237.29,0.00,0.00,124.39,994.23,NA
2022-01-12 00:00:00,117.16,181.27,28.49,32.19,40.35,24.06,7.85,1.22,22.17,2.40,86.96,NA,NA,NA,NA,12.52,86.28,0.92,219.14,0.00,0.00,99.08,993.74,NA
2022-01-13 00:00:00,185.47,289.34,66.61,45.77,78.66,25.35,12.93,1.29,21.92,5.18,193.35,NA,NA,NA,NA,11.80,88.68,0.90,189.06,0.00,0.00,62.45,993.93,NA
