Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,247.92,357.75,77.41,81.62,106.51,65.08,10.26,1.45,21.40,7.42,70.24,NA,NA,NA,NA,13.19,66.72,0.76,129.77,0.00,0.00,45.85,997.00,NA
2022-01-02 00:00:00,271.27,384.76,85.67,80.16,112.08,64.28,10.74,1.51,22.11,7.56,66.93,NA,NA,NA,NA,13.79,67.08,0.82,154.40,0.00,0.00,47.47,995.63,NA
2022-01-03 00:00:00,240.70,365.78,74.79,85.39,105.71,61.16,11.52,1.62,20.37,7.24,59.72,NA,NA,NA,NA,14.66,64.36,0.77,147.49,0.00,0.00,44.06,993.72,NA
2022-01-04 00:00:00,218.44,352.78,122.78,89.27,154.07,59.64,13.26,2.19,16.94,7.13,114.83,NA,NA,NA,NA,16.61,59.74,0.76,155.47,0.00,0.00,47.02,992.96,NA
2022-01-05 00:00:00,317.74,446.68,143.16,75.62,177.15,75.78,10.73,1.62,11.72,10.73,134.40,NA,NA,NA,NA,14.00,76.62,0.90,164.88,0.05,5.00,12.64,992.08,NA
2022-01-06 00:00:00,124.04,184.59,10.42,39.37,29.43,53.86,10.76,0.90,13.47,5.28,45.64,NA,NA,NA,NA,15.78,74.55,1.19,203.53,0.00,0.00,44.48,992.01,NA
2022-01-07 00:00:00,70.00,130.57,12.33,33.13,27.67,48.44,9.49,0.75,14.80,3.67,31.61,NA,NA,NA,NA,16.53,75.55,2.33,108.28,0.00,0.00,32.33,991.78,NA
2022-01-08 00:00:00,44.36,61.76,3.35,24.36,15.66,44.44,8.28,0.65,16.86,2.67,27.29,NA,NA,NA,NA,15.99,81.74,1.12,294.51,0.49,47.50,12.43,991.35,NA
2022-01-09 00:00:00,45.15,62.75,8.93,25.87,21.04,36.67,8.65,0.70,9.18,2.81,25.22,NA,NA,NA,NA,14.44,82.01,0.93,225.57,0.05,4.50,13.36,990.64,NA
2022-01-10 00:00:00,97.47,148.90,25.31,43.95,44.02,33.11,10.83,1.00,17.43,4.04,42.25,NA,NA,NA,NA,13.63,74.81,1.20,161.68,0.00,0.00,60.96,993.13,NA
2022-01-11 00:00:00,104.99,163.44,34.60,46.76,53.10,33.52,10.23,0.85,18.67,4.28,48.15,NA,NA,NA,NA,13.02,73.50,1.44,163.62,0.00,0.00,51.17,993.12,NA
2022-01-12 00:00:00,123.01,187.99,39.26,49.98,58.82,33.09,11.24,1.14,16.08,3.99,32.88,NA,NA,NA,NA,12.32,73.34,0.86,160.82,0.02,2.00,54.32,992.80,NA
2022-01-13 00:00:00,299.78,448.53,147.86,73.25,159.71,41.21,10.81,1.95,13.24,10.33,123.66,NA,NA,NA,NA,12.06,78.86,0.57,201.61,0.00,0.00,38.98,992.98,NA
