Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,325.24,452.46,46.04,59.55,69.21,32.34,16.11,1.23,8.32,6.07,0.77,NA,NA,NA,NA,13.33,68.90,0.33,166.00,NA,0.00,59.48,735.92,0.00
2022-01-02 00:00:00,362.41,474.39,63.01,59.76,83.15,33.36,19.14,1.33,8.01,5.80,0.76,NA,NA,NA,NA,13.64,70.53,0.33,178.90,NA,0.00,61.37,736.00,0.00
2022-01-03 00:00:00,305.90,440.18,40.35,61.48,65.59,32.05,16.40,1.12,8.35,5.91,0.76,NA,NA,NA,NA,14.05,67.82,0.35,167.25,NA,0.00,62.64,735.97,0.00
2022-01-04 00:00:00,278.22,390.56,85.51,59.20,112.70,32.64,21.13,1.54,6.57,5.55,0.87,NA,NA,NA,NA,15.03,63.25,0.31,183.28,NA,0.00,51.06,735.95,0.00
2022-01-05 00:00:00,338.64,430.59,105.98,63.73,120.31,36.00,15.10,1.35,14.04,5.53,0.83,NA,NA,NA,NA,13.84,81.65,0.37,199.73,NA,0.00,12.64,735.88,0.00
2022-01-06 00:00:00,127.76,173.90,17.59,47.82,39.77,29.87,12.52,0.51,4.81,1.53,0.41,NA,NA,NA,NA,14.90,75.94,0.50,185.40,NA,0.00,47.78,735.90,0.02
2022-01-07 00:00:00,84.46,122.26,10.92,40.60,30.50,28.15,15.54,0.36,5.50,1.05,0.34,NA,NA,NA,NA,15.19,77.28,1.23,169.66,NA,0.00,34.44,735.92,0.09
2022-01-08 00:00:00,49.53,66.93,12.65,39.64,31.40,28.30,14.67,0.26,6.01,1.09,0.33,NA,NA,NA,NA,14.86,88.53,0.42,159.49,NA,0.00,13.07,735.97,0.00
2022-01-09 00:00:00,51.11,68.30,8.26,32.58,24.06,26.12,15.22,0.26,6.68,1.45,0.46,NA,NA,NA,NA,14.01,87.46,0.36,114.66,NA,0.00,15.09,735.94,0.00
2022-01-10 00:00:00,115.35,157.67,16.25,36.32,32.57,22.38,15.49,0.45,10.27,3.14,0.59,NA,NA,NA,NA,13.41,80.64,0.39,135.97,NA,0.00,52.28,735.95,0.00
2022-01-11 00:00:00,105.42,149.16,12.79,34.95,29.03,20.45,15.22,1.00,9.70,2.84,0.34,NA,NA,NA,NA,13.21,77.97,0.59,122.19,NA,0.00,72.75,735.92,0.01
2022-01-12 00:00:00,146.38,214.39,20.39,36.18,35.87,20.73,21.44,1.38,7.79,3.84,0.56,NA,NA,NA,NA,13.18,76.02,0.40,126.85,NA,0.00,59.12,735.90,0.00
2022-01-13 00:00:00,257.86,376.78,60.90,48.31,75.34,23.28,15.29,1.66,7.58,4.14,0.54,NA,NA,NA,NA,13.09,80.86,0.37,180.08,NA,0.00,40.24,735.92,0.00
2022-01-14 00:00:00,242.43,363.65,26.73,48.03,47.34,22.38,15.15,NA,8.07,4.50,0.62,NA,NA,NA,NA,12.57,84.32,0.44,173.34,NA,0.00,34.01,735.93,0.01
2022-01-15 00:00:00,147.12,203.26,7.77,30.79,22.71,19.93,10.01,0.52,11.12,1.61,3.13,NA,NA,NA,NA,12.06,81.95,0.53,119.81,NA,0.00,21.88,735.91,0.01
2022-01-16 00:00:00,167.41,237.12,10.87,32.66,26.23,22.69,15.12,2.01,21.25,1.86,6.69,NA,NA,NA,NA,12.31,75.44,0.55,135.38,NA,0.00,55.91,735.87,0.01
2022-01-17 00:00:00,236.97,356.27,19.95,57.13,46.66,26.51,19.72,1.58,15.86,2.47,13.54,NA,NA,NA,NA,12.72,74.97,0.46,165.99,NA,0.00,47.25,735.93,0.00
2022-01-18 00:00:00,217.81,314.73,11.80,55.98,39.39,31.89,13.01,1.73,17.61,2.89,12.96,NA,NA,NA,NA,12.57,75.56,0.71,113.49,NA,0.00,52.48,735.93,0.00
2022-01-19 00:00:00,236.62,358.84,29.66,65.31,58.91,34.51,11.69,2.22,18.87,3.33,19.88,NA,NA,NA,NA,13.01,76.48,0.55,136.50,NA,0.00,51.26,735.97,0.01
2022-01-20 00:00:00,313.27,474.92,48.38,79.39,81.66,38.65,15.54,2.17,11.67,3.59,21.41,NA,NA,NA,NA,13.59,80.54,0.39,195.99,NA,0.00,44.97,735.91,0.00
2022-01-21 00:00:00,235.12,346.58,45.46,79.08,79.13,36.96,11.25,2.51,16.88,4.01,22.71,NA,NA,NA,NA,13.89,77.33,0.50,183.65,NA,0.00,55.01,735.89,0.01
2022-01-22 00:00:00,147.71,190.85,12.41,64.17,44.24,36.47,12.96,1.49,14.01,1.83,6.88,NA,NA,NA,NA,13.43,83.13,0.66,170.91,NA,0.00,14.19,735.89,0.01
2022-01-23 00:00:00,139.68,188.22,27.80,48.68,48.56,36.33,25.89,1.36,15.25,1.89,8.10,NA,NA,NA,NA,13.15,83.83,0.46,163.86,NA,0.00,24.93,735.89,0.00
2022-01-24 00:00:00,129.35,209.10,48.55,58.88,70.90,36.28,19.44,1.68,10.71,2.72,20.82,NA,NA,NA,NA,12.80,80.79,0.34,178.55,NA,0.00,27.79,735.93,0.00
2022-01-25 00:00:00,134.27,236.22,46.24,51.83,65.27,35.10,22.75,3.33,9.66,4.37,17.86,NA,NA,NA,NA,11.97,84.21,0.52,140.08,NA,0.00,18.58,735.93,0.00
2022-01-26 00:00:00,154.37,238.00,25.10,51.84,48.04,33.96,41.18,2.22,14.91,2.60,12.84,NA,NA,NA,NA,12.72,81.16,0.54,145.08,NA,0.00,51.72,735.98,0.01
2022-01-27 00:00:00,140.69,220.18,17.54,63.43,48.03,33.33,14.79,2.31,20.96,2.39,30.41,NA,NA,NA,NA,13.43,73.81,0.67,135.54,NA,0.00,71.29,735.89,0.01
2022-01-28 00:00:00,119.51,207.95,21.96,69.45,54.83,31.67,17.57,1.52,29.22,6.67,36.04,NA,NA,NA,NA,13.78,63.41,0.88,129.19,NA,0.00,76.04,735.93,0.00
