Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,274.70,322.48,86.95,59.73,102.65,30.46,33.56,1.61,39.64,NA,NA,NA,NA,NA,NA,9.47,70.29,0.42,201.12,NA,0.00,69.84,976.52,0.02
2022-01-02 00:00:00,282.19,326.90,74.02,57.60,90.99,29.02,33.89,1.63,40.66,NA,NA,NA,NA,NA,NA,10.05,70.51,0.41,188.57,NA,0.00,69.59,976.51,0.00
2022-01-03 00:00:00,273.70,325.43,93.34,58.64,107.28,28.35,31.87,1.73,43.05,NA,NA,NA,NA,NA,NA,11.15,67.78,0.48,195.08,NA,0.00,71.44,976.52,0.00
2022-01-04 00:00:00,255.50,321.76,135.20,66.80,145.76,30.33,29.23,1.98,30.21,NA,NA,NA,NA,NA,NA,13.23,63.97,0.40,193.61,NA,0.00,64.68,976.53,0.00
2022-01-05 00:00:00,281.37,304.12,132.79,51.71,135.77,32.83,20.75,1.89,18.51,NA,NA,NA,NA,NA,NA,10.91,82.79,0.76,171.15,NA,0.00,16.90,976.56,0.10
2022-01-06 00:00:00,105.32,137.21,17.20,34.88,32.56,24.11,12.02,1.20,28.99,NA,NA,NA,NA,NA,NA,13.17,77.94,0.74,157.21,NA,0.00,62.02,976.55,0.10
2022-01-07 00:00:00,72.10,93.48,5.55,27.16,18.98,21.84,10.53,0.93,40.38,NA,NA,NA,NA,NA,NA,14.20,78.28,1.14,172.33,NA,0.00,42.11,976.53,0.19
2022-01-08 00:00:00,54.44,69.87,4.43,28.55,18.80,19.14,10.00,0.66,32.21,NA,NA,NA,NA,NA,NA,13.64,85.90,1.15,157.55,NA,0.00,14.57,976.61,0.07
2022-01-09 00:00:00,53.41,77.21,4.43,26.14,17.51,16.92,10.68,0.76,22.51,NA,NA,NA,NA,NA,NA,11.68,86.04,0.57,171.11,NA,0.00,17.41,976.59,0.00
2022-01-10 00:00:00,107.39,149.36,27.68,37.02,42.26,15.94,13.82,0.97,36.09,NA,NA,NA,NA,NA,NA,10.31,78.61,0.50,182.18,NA,0.00,67.85,976.57,0.00
2022-01-11 00:00:00,102.17,145.72,26.31,32.83,38.92,16.12,13.55,1.24,41.51,NA,NA,NA,NA,NA,NA,9.79,75.76,0.73,177.26,NA,0.00,83.75,976.55,0.00
2022-01-12 00:00:00,140.43,198.90,57.56,37.35,66.80,16.48,18.32,1.75,36.55,NA,NA,NA,NA,NA,NA,9.27,75.20,0.52,179.52,NA,0.00,75.40,976.55,0.00
2022-01-13 00:00:00,286.73,379.57,111.28,54.63,119.79,18.59,19.14,3.15,28.38,NA,NA,NA,NA,NA,NA,9.25,78.33,0.36,170.98,NA,0.00,59.04,976.55,0.00
2022-01-14 00:00:00,238.30,335.44,55.45,43.95,68.58,18.64,20.86,2.24,24.56,NA,NA,NA,NA,NA,NA,8.26,81.44,0.43,174.11,NA,0.00,48.93,976.52,0.00
2022-01-15 00:00:00,148.62,214.06,12.92,28.49,25.68,18.22,12.31,1.05,31.01,NA,NA,NA,NA,NA,NA,7.82,79.76,0.51,180.95,NA,0.00,40.30,976.51,0.00
2022-01-16 00:00:00,152.89,225.00,12.14,33.95,27.95,23.20,13.71,1.11,35.81,NA,NA,NA,NA,NA,NA,8.82,72.46,0.59,181.66,NA,0.00,75.86,976.51,0.00
2022-01-17 00:00:00,170.78,251.12,11.05,36.08,28.19,21.65,13.07,1.32,37.35,NA,NA,NA,NA,NA,NA,8.48,74.20,0.48,189.05,NA,0.00,57.49,976.50,0.01
2022-01-18 00:00:00,210.57,297.31,12.64,34.19,28.49,22.21,13.06,1.36,36.58,NA,NA,NA,NA,NA,NA,8.77,73.96,0.61,183.97,NA,0.00,71.27,976.51,0.00
2022-01-19 00:00:00,211.59,330.48,40.30,43.14,55.81,25.39,15.65,1.91,40.97,NA,NA,NA,NA,NA,NA,9.90,74.70,0.46,187.64,NA,0.00,64.89,976.50,0.00
2022-01-20 00:00:00,268.66,388.16,26.02,37.50,41.15,28.06,13.97,2.16,30.82,NA,NA,NA,NA,NA,NA,10.51,78.41,0.68,172.57,NA,0.00,62.37,976.51,0.08
2022-01-21 00:00:00,219.05,311.99,47.76,39.10,59.74,27.73,16.45,2.32,39.17,NA,NA,NA,NA,NA,NA,11.07,75.78,0.58,169.98,NA,0.00,72.23,976.52,0.05
2022-01-22 00:00:00,138.97,182.88,4.59,30.05,19.72,26.05,12.80,1.04,37.00,NA,NA,NA,NA,NA,NA,10.44,82.22,1.39,162.18,NA,0.00,18.20,976.56,0.13
2022-01-23 00:00:00,144.88,188.86,34.90,23.88,41.16,22.14,14.88,1.99,33.95,NA,NA,NA,NA,NA,NA,10.02,80.91,0.74,176.82,NA,0.00,39.95,976.56,0.01
2022-01-24 00:00:00,77.33,204.29,69.64,37.38,76.66,18.82,15.60,2.29,24.63,NA,NA,NA,NA,NA,NA,9.20,77.51,0.38,193.24,NA,0.00,36.92,976.51,0.00
2022-01-25 00:00:00,198.15,235.73,68.11,29.40,71.17,18.26,15.32,2.17,22.93,NA,NA,NA,NA,NA,NA,7.20,81.48,0.59,182.03,NA,0.00,27.61,976.51,0.00
2022-01-26 00:00:00,139.05,213.80,31.44,31.45,42.36,19.83,13.34,1.73,37.15,NA,NA,NA,NA,NA,NA,8.99,76.59,0.58,190.48,NA,0.00,70.55,976.51,0.00
2022-01-27 00:00:00,118.20,185.17,25.10,44.73,44.26,19.66,12.95,1.15,42.56,NA,NA,NA,NA,NA,NA,9.98,71.66,0.74,186.10,NA,0.00,93.33,976.52,0.00
2022-01-28 00:00:00,104.05,175.23,31.19,47.32,50.61,19.70,13.63,1.29,49.94,NA,NA,NA,NA,NA,NA,10.19,62.94,0.90,187.07,NA,0.00,99.20,976.51,0.00
2022-01-29 00:00:00,154.56,238.51,83.21,50.43,94.66,23.61,15.91,2.19,49.91,NA,NA,NA,NA,NA,NA,11.39,63.35,0.74,195.30,NA,0.00,99.40,976.51,0.00
2022-01-30 00:00:00,156.64,228.00,29.96,43.82,47.73,23.43,15.12,1.38,53.57,NA,NA,NA,NA,NA,NA,12.11,66.43,1.03,173.86,NA,0.00,99.14,976.50,0.00
